Gene ID,LOG2Diff0,LOG2Diff1,LOG2Diff2,LOG2Diff4,LOG2Diff6,LOG2Diff8
Csa00382s020,0.831668054,0.529771321,-1.877999804,-0.333080072,0.54502946,0.304611041
Csa00382s040,1.521751985,0.02691346,-1.297628508,0.133327389,-0.866000631,0.481636305
Csa00382s060,-1.185665683,0.094312137,-1.116299364,0.426719307,0.356038967,1.424894637
Csa00382s070,-0.564522371,-0.060181305,-1.633880141,0.757540012,0.358287745,1.14275606
Csa00382s210,1.770968497,0.252081798,-0.717168216,-1.105045495,0.048749207,-0.249585792
Csa00382s240,-1.657751465,0.449173778,0.212934081,0.952679536,0.761833581,-0.71886951
Csa00382s300,1.354301766,-0.054201778,-0.90729835,-0.687246569,-0.80778587,1.102230801
Csa00395s050,-0.926720857,0.083535363,-0.889776336,-0.065584137,-0.028310784,1.826856751
Csa00395s060,1.816953903,0.249664613,-0.585540983,-0.897132314,0.106866616,-0.690811834
Csa00395s070,-1.424321457,0.326114245,0.240005423,-0.795352191,0.191304804,1.462249175
Csa00427s010,-0.786989392,0.433972384,1.475103846,-0.902860779,0.657588604,-0.876814663
Csa00427s020,1.559675069,-0.001671031,-0.8773125,-0.880050174,-0.608619144,0.807977779
Csa00427s040,1.689217524,-0.156086108,-1.350198026,-0.360773786,-0.187824493,0.365664889
Csa00430s030,-0.153690168,0.822959937,-1.402842068,-0.303885123,-0.403400697,1.440858118
Csa00430s060,-0.283807047,0.977184465,-0.871568807,0.833524588,0.743649847,-1.398983046
Csa00430s140,1.801946096,-1.069090234,-0.263356404,-0.689040753,0.254344844,-0.034803549
Csa00441s080,-0.96457097,1.853854504,-0.014603674,-0.266339147,0.129786613,-0.738127326
Csa00441s170,-0.663353572,0.002490857,0.6760998,-1.657035169,0.889195716,0.752602367
Csa00441s180,-0.315803285,1.122896875,-1.034746809,0.169872362,-1.09764053,1.155421387
Csa00441s240,1.102379568,0.7361087,-1.101030511,-1.276362656,0.627449801,-0.088544902
Csa00441s250,0.648442422,0.120009912,-1.692948824,-0.61370892,0.505125674,1.033079736
Csa00441s390,1.107634693,0.392661857,-0.97546701,-1.466091054,0.664301314,0.2769602
Csa00456s130,0.863476827,0.23384055,-1.788942267,-0.305379889,0.046205038,0.950799741
Csa00462s040,0.014969939,0.528000061,-1.74171521,-0.345996141,0.339592606,1.205148744
Csa00462s080,1.262296272,0.61547209,-0.418679821,-1.589854936,0.463077044,-0.332310649
Csa00470s040,0.914061444,1.094702748,-1.175940091,-1.137724611,-0.195675454,0.500575965
Csa00474s010,-0.117986502,0.310711538,-1.925276685,0.418121054,0.388739877,0.925690718
Csa00474s020,1.374969924,0.658778551,-0.835198921,-0.255113799,-1.328395393,0.384959638
Csa00474s030,1.317031531,0.485199447,-0.801185985,-0.44086609,-1.289259246,0.729080343
Csa00474s080,-0.235345436,-0.922532403,-0.197889456,-0.851591706,0.435487559,1.771871442
Csa00474s120,1.20840168,1.316898699,-0.854196184,-0.835158051,-0.538389284,-0.29755686
Csa00478s010,1.489968281,-0.231632621,-1.006455869,-0.815667939,-0.384868519,0.948656666
Csa00485s030,0.379241667,0.466452518,-1.565221281,-0.91048702,0.690066018,0.939948098
Csa00486s060,0.274065308,1.70384069,0.010457063,-0.589798146,-0.109429935,-1.28913498
Csa00506s070,-0.323951941,1.342530128,-1.512616302,-0.412798681,0.787394954,0.119441842
Csa00506s140,0.292844278,1.023222061,-1.331142138,-0.255778539,-0.862875328,1.133729667
Csa00506s150,0.688252124,0.253965553,-0.183306146,-1.933157953,0.616126377,0.558120045
Csa00507s040,0.878801697,-1.170877212,0.113479356,-1.083459052,1.29193659,-0.029881379
