CGI,Ave CO46 week 0,Ave CO46 week 1,Ave CO46 week 2,Ave CO46 week 4,Ave CO46 week 6,Ave CO46 week 8
Csa17g073120,11.88244864,16.75468792,13.79532412,13.0830702,11.93837755,12.70386524
Csa11g103670,11.93773511,7.433181388,5.281183978,5.053174871,5.745809171,6.964951424
Csa15g023080,6.399370511,15.86511392,17.12847584,17.9012113,20.05991498,14.71687528
Csa16g040160,1.831191358,4.490871238,3.124987365,2.864763542,2.901612538,2.745151336
Csa11g012660,10.34604527,11.44956116,5.886767981,5.96179277,5.521952842,6.83263853
Csa18g010240,3.516490183,18.48444246,22.65142941,15.98284359,18.39122803,16.37344323
Csa20g006850,8.52972272,22.75915005,20.62998407,18.38431459,12.61270383,10.41364322
Csa11g044910,12.9884468,10.76938117,23.01879327,5.917257208,19.41513557,14.48028285
Csa17g094420,23.38359779,18.548798,13.74674962,19.65590842,18.93724207,23.75680966
Csa11g038540,7.276210956,4.916684903,4.503248816,12.10959475,7.300118803,9.795236151
Csa07g004620,0.13960705,0.124998296,0.205110177,0.148903494,0.159691092,0.264029103
Csa15g016800,3.963446899,8.977751189,3.772818535,2.472031598,2.757632356,3.65184019
Csa06g015540,3.993210259,2.255407615,1.650811609,1.933046471,2.999153973,3.300133858
Csa07g019880,7.139421467,7.367996264,6.967314489,7.041154243,6.956831772,6.984534446
Csa19g001320,4.532921511,3.802055617,2.652084712,2.296723191,2.187499131,2.60935722
Csa13g017610,34.88673329,33.0781412,28.22486498,46.6731622,29.79855586,45.77594015
Csa19g006590,2.403069036,3.458935473,2.724975992,3.086316471,3.476593227,3.188924949
Csa16g028620,117.5881041,164.5994365,135.7934238,141.7052867,115.552059,106.1274752
Csa06g039050,7.394447216,4.1048101,2.618501921,5.426345241,4.064707411,5.904272322
Csa16g039860,10.15147284,6.540991477,5.061230062,6.487128212,5.417013678,7.480657288
Csa16g012740,1.990361082,2.303991278,2.579824546,2.552249989,3.171966929,3.202171807
Csa01g016710,21.83417236,19.06895762,32.89749527,31.4464108,24.94305526,30.29358329
Csa20g077310,3.860786963,2.167278417,2.991971747,3.087040436,2.002397756,3.41058166
Csa17g018740,208.6143074,195.0394895,130.2867391,147.5504429,151.5538391,139.054019
Csa10g040780,5.340116471,1.574860406,0.755036158,0.486284951,0.353338556,0.217437199
Csa06g038400,6.993025187,11.5440015,13.42064049,7.904932196,12.31968256,9.269892821
Csa06g049580,14.07284712,19.93310439,12.85984039,12.82675641,14.19935785,13.13548808
Csa17g011130,3.265039311,4.202267927,3.088028895,3.664575575,3.995571655,3.62028329
Csa12g022330,13.1106167,7.986567725,6.346756668,5.776070999,5.928055493,9.799768438
Csa11g073520,8.559320289,20.50960539,18.67948512,20.77387065,20.44460523,17.67827903
Csa06g001610,8.334916858,6.55962657,6.684410494,7.272724817,8.014750335,10.85861484
Csa19g012200,5.554550857,2.594104689,3.110870213,3.188806384,3.14371363,4.408778222
Csa11g023200,2.877827248,3.104468845,3.557966231,2.464237079,2.67541215,2.508353167
Csa12g022630,25.26712726,59.30013097,79.59004094,67.13696637,71.84301044,51.32861762
Csa07g031990,3.098277015,5.594447507,6.247134202,4.364520096,6.883044808,4.361780518
Csa08g006570,5.469272685,6.642413491,5.111937635,5.760855728,5.579382857,6.521877414
Csa11g004720,0.859532663,3.184780984,4.430955724,3.428759003,3.547826368,2.976389037
Csa19g011820,14.9687525,11.32973139,8.192790003,7.947216701,6.955621926,10.3890072
Csa11g101150,20.18238535,29.98624662,24.41456871,18.8561454,19.58514181,17.21988395
Csa19g036210,7.426458212,12.47025807,5.436399253,4.840212386,4.741375433,6.544403672
Csa06g039920,6.366892782,4.60268163,2.481067334,2.710940845,2.666157491,3.417322632
Csa17g016450,10.02411999,2.17878982,1.3995205,0.633557598,1.251820452,0.708675921
Csa20g024820,2.209059331,2.095291798,1.94573518,1.697817489,2.039196062,1.778560412
Csa15g082430,13.76604799,15.284906,9.926854129,11.54121775,11.7677366,13.48173644
Csa06g051390,4.80186547,5.472644671,3.283585342,3.639298482,3.554990891,4.432160766
Csa07g037940,10.34305906,4.783178875,7.226866358,4.024749122,6.290381995,3.935561298
Csa19g012280,13.45869089,13.0414546,15.5393053,10.77568345,14.16850508,9.218608931
Csa17g034060,0.06094274,2.799885349,1.593845127,0.79966146,2.633176068,1.405336739
Csa07g036310,1.877780621,1.589851317,1.912766857,2.091689679,2.706761782,3.679515425
Csa05g086300,2.924219728,3.202466033,2.661737144,3.813363522,4.10135832,5.933066996
