CGI,Ave CO46 week 0,Ave CO46 week 1,Ave CO46 week 2,Ave CO46 week 4,Ave CO46 week 6,Ave CO46 week 8,Ave Joelle week 0,Ave Joelle week 1,Ave Joelle week 2,Ave Joelle week 4,Ave Joelle week 6,Ave Joelle week 8
Csa14g026690,6.358526593,9.427718863,8.528742909,9.401923359,7.759268411,8.816744094,10.48191162,7.375215367,8.907693088,7.796287524,8.356172171,7.018137891
Csa19g046430,24.63394969,40.24298451,43.25277957,33.92768136,31.699803,31.95161398,41.01098026,45.09669459,53.17086783,44.90324275,45.15689135,38.74862257
Csa15g010200,11.40258922,12.69539908,14.29167739,12.34626072,13.31943705,9.201115634,18.95859196,14.44879233,13.47905889,10.69681064,12.66894602,10.4735241
Csa07g023370,22.98678327,19.3853921,19.57075241,21.78286946,16.40930761,13.48946866,37.11545917,22.13281971,24.5554927,23.52369568,23.61531952,16.64381013
Csa10g015310,43.8869494,101.1915332,77.2859388,98.71429347,63.50801288,82.26302767,72.16745734,115.1206766,104.8696007,133.896982,82.89181881,85.45811521
Csa02g071760,64.78142794,66.00274997,51.69196297,36.69155191,33.126361,31.66660717,105.9504841,59.17047987,64.60217851,40.88131331,40.58655342,34.96901301
Csa03g034620,14.86085323,30.90566412,37.87940346,32.59742061,30.75271322,26.56222098,23.84659082,41.01272591,49.5254254,43.30156988,39.62616252,36.69624669
Csa05g095530,67.92814759,71.24629198,85.28215514,80.61804622,78.77248528,94.25787204,112.4187119,119.3807357,133.677443,111.1509843,129.0215165,143.2098433
Csa00441s070,92.2732483,44.87502105,80.62155849,112.259724,91.28613741,70.79049685,146.7962684,45.14068275,94.44307469,91.93138355,104.1811523,79.49501591
Csa13g017130,98.368187,95.56334191,99.7803532,84.30591179,79.89715199,63.130519,159.396367,111.7947967,104.6396716,84.30520497,85.422599,80.40606534
Csa16g001120,66.29086126,153.6869722,118.0274577,151.7231104,118.2221011,111.114447,108.1548632,126.6732621,164.6353931,137.5521531,140.098602,113.9180284
Csa10g038460,7.284207683,7.314799829,8.349237985,7.833210305,8.616654602,10.34223884,11.68685495,7.412261615,10.07624031,11.36970187,11.51481917,12.63647529
Csa06g051860,58.77148954,68.39123075,39.85982718,50.63289507,42.80659784,47.79822585,98.13246872,58.86293304,43.63153395,36.33012152,53.35763904,48.34350939
Csa12g004040,33.00888819,42.32017293,47.40549338,67.8446335,57.29082027,51.10580004,53.44497349,47.49719938,64.05093689,67.84537314,62.74904137,59.26455651
Csa04g038900,46.6417361,71.82809316,58.99175308,44.67567689,37.47937471,36.83318424,73.93684833,69.60124307,59.04444533,44.20687536,43.00150735,36.76980607
Csa04g067800,9.043943948,9.535367195,10.27334512,12.2865458,8.791538224,11.90211392,14.83639649,10.39719157,10.60309046,11.26953236,11.30360466,13.04751102
Csa15g071280,27.25529179,41.78490169,42.90801804,44.87959265,42.46848569,40.44684747,42.99736527,43.88716665,59.4983882,60.6336077,58.81989638,48.98912461
Csa14g021290,22.48184254,72.39323693,57.71685252,60.2094616,60.10772045,46.45386672,36.67809223,63.49363961,62.24229671,64.0689408,57.90002433,63.50660272
